StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,N/A_Browser,N/A_Version,N/A_Operating System,N/A_Resolution,Q1,Q2,Q3,Q91,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q76,Q12,Q13,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,NetID,FirstName,LastName,PrimaryAffiliation,FullEmailAddress,NetIDEmail
2024-07-09 11:22:37,2024-07-09 11:22:37,Survey Test,,100,0,True,2024-07-09 11:22:37,R_aW8uhhA3qWH21RI,,,,,,,test,,vestibulum,accusamus,imperdiet,tincidunt,Ultrices m,Eget s,Senior,Pratt,"Environmental Sciences and Policy,French Studies,Slavic and Eurasian Studies",English,"Documentary Studies,Materials Science and Engineering","I don't know/Skip this question,Philadelphia and Mid/Southern New Jersey,Chicago IL","Construction,Agricultural and Food Science,Private Equity","MD (Doctor of Medicine),MBA (Masters of Business Administration),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MA (Master of Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MPH (Master of Public Health),MM (Master in Management)",Movies/TV,"Career exploration and decision-making,Emotional support","Asian or Pacific islander,Black or African-American,Middle Eastern,Native American or American Indian,White,Other","NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC)",No,No,Yes,7,7,8,7,6,1,10,5,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:38,2024-07-09 11:22:38,Survey Test,,100,0,True,2024-07-09 11:22:38,R_cZqt6PfAYgUDojA,,,,,,,test,,convallis,suspendisse,malesuada,dignissim,Euismod ul,"Wisi! ",Junior,Trinity,"Biology,Classical Civilization,Visual and Media Studies",Asian and Middle Eastern Studies,"None,Health Policy,Robotics and Automation","Washington DC,Baltimore MD","Manufacturing and engineering,Construction,International Relations","MBA (Masters of Business Administration),PhD (Doctor of Philosophy),MeD (Master of Education),MSW (Master of Social Work)","Family Time,Watching Sports,Fishing/Hunting","Career exploration and decision-making,Skill development in a specific field,Academic success and study skills","Asian or Pacific islander,White",Selective Living Groups (SLG),Yes,No preference,No,6,0,9,6,2,5,9,9,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:38,2024-07-09 11:22:38,Survey Test,,100,0,True,2024-07-09 11:22:38,R_di2pOiSmtZ05z5I,,,,,,,test,,phasellus,vulputate,pellentesque,suspendisse,"Porttitor ",Sollic,Senior,Pratt,"French Studies,Italian and European Studies,Mechanical Engineering","Cultural Anthropology,Medical Sociology","Innovation and Entrepreneurship,Philosophy Politics and Economics","Northern California,Boston MA,Richmond VA","Healthcare,Energy and Utilities,Product / Product Management / UX Design","None / Not listed,PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MA (Master of Arts),MeD (Master of Education),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Cooking/Baking,Gardening","Academic success and study skills,Personal growth and self-improvement","Black or African-American,Native American or American Indian,Prefer not to answer","Multicultural Greek Council (MGC),Greek Life (IFC/Panhel)",Prefer not to answer,No,Yes,8,9,9,8,1,4,10,5,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:38,2024-07-09 11:22:38,Survey Test,,100,0,True,2024-07-09 11:22:38,R_3Qnyuc3JJtLGrdk,,,,,,,test,,accusamus,fermentum,consequat,pellentesque,Vulputate.,Auctor,Senior,Trinity,"Art History,Classical Languages","Education,Inequality Studies",Policy Journalism and Media Studies,Chicago IL,"Biotechnology,Academia/Higher Ed","MD (Doctor of Medicine),MFA (Master of Fine Arts),MS (Master of Science),MPP (Masters of Public Policy),MSW (Master of Social Work),MM (Master in Management),DVM (Doctor of Veterinary Medicine)","Cooking/Baking,Music/Dance,Time with Friends",Career exploration and decision-making,"Asian or Pacific islander,Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Other,Prefer not to answer","Student Athlete,Dance Team,Selective Living Groups (SLG)",Prefer not to answer,Yes,Yes,2,9,1,10,9,2,1,10,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:38,2024-07-09 11:22:38,Survey Test,,100,0,True,2024-07-09 11:22:39,R_5cAO0z8UmhP1tCS,,,,,,,test,,accusamus,pellentesque,scelerisque,porttitor,Vel. Bland,Sceler,Junior,Trinity,International Comparative Studies,"Biology,Latin",Materials Science and Engineering,"Philadelphia and Mid/Southern New Jersey,Nashville TN","Environmental Science,Venture Capital","MD (Doctor of Medicine),JD (Juris Doctorate/Law),MFA (Master of Fine Arts),MA (Master of Arts),Psy.D (Doctor of Psychology),MEM (Master of Engineering Management),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPH (Master of Public Health)","Fitness,Athletics/Playing Sports","Skill development in a specific field,Personal growth and self-improvement","Black or African-American,Hispanic or Latinx,Middle Eastern,Native American or American Indian",Greek Life (IFC/Panhel),Yes,Yes,No,8,3,4,1,3,1,4,6,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:39,2024-07-09 11:22:39,Survey Test,,100,0,True,2024-07-09 11:22:39,R_6m0vjubERk9FhS6,,,,,,,test,,scelerisque,imperdiet,pellentesque,vestibulum,Pretium mi,Lectus,Sophomore,Pratt,"Interdisciplinary Engineering and Applied Sciences (IDEAS),Linguistics,Theater Studies","Energy Engineering,French Studies,Visual Arts","None,Digital Intelligence,East Asian Studies","Washington DC,Charlotte NC,UK",Food and beverage,"None / Not listed,MD (Doctor of Medicine),MBA (Masters of Business Administration),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MA (Master of Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MeD (Master of Education),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MSW (Master of Social Work),MM (Master in Management),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Cooking/Baking,Fashion,Music/Dance",Personal growth and self-improvement,"Asian or Pacific islander,Native American or American Indian","NPHC (African American Greek letter organizations),Selective Living Groups (SLG)",Prefer not to answer,No,Yes,2,10,2,2,8,2,7,1,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:39,2024-07-09 11:22:39,Survey Test,,100,0,True,2024-07-09 11:22:39,R_cuvxIEP6CPuOcrY,,,,,,,test,,imperdiet,scelerisque,temporibus,vulputate,Dictumst a,Sed pu,Sophomore,Pratt,Romance Studies,"Dance,Religious Studies","Child Policy Research,Islamic Studies","I don't know/Skip this question,Raliegh/Durham/Chapel Hill",Healthcare,"MBA (Masters of Business Administration),PhD (Doctor of Philosophy),MFA (Master of Fine Arts),MA (Master of Arts),Psy.D (Doctor of Psychology),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MPH (Master of Public Health),MM (Master in Management),DVM (Doctor of Veterinary Medicine)","Fashion,Music/Dance,Performing Arts","Academic success and study skills,Personal growth and self-improvement,Emotional support","Asian or Pacific islander,Black or African-American,Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Other","Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Selective Living Groups (SLG)",No,Yes,Yes,1,1,4,4,8,3,4,7,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:39,2024-07-09 11:22:39,Survey Test,,100,0,True,2024-07-09 11:22:39,R_0ieJizjOlR1LonY,,,,,,,test,,imperdiet,fringilla,venenatis,fringilla,Placerat n,Egesta,Junior,Trinity,Chemistry,"Computational Media,Cultural Anthropology,Sexuality Studies",Materials Science and Engineering,"I don't know/Skip this question,Atlanta GA","Law / Legal Services,Retail and e-commerce,Pharmaceutical","None / Not listed,MD (Doctor of Medicine),PhD (Doctor of Philosophy),MA (Master of Arts),Psy.D (Doctor of Psychology),MeD (Master of Education),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MM (Master in Management),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Traveling,Performing Arts",Skill development in a specific field,"Asian or Pacific islander,Black or African-American,Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Other,Prefer not to answer","Greek Life (IFC/Panhel),Selective Living Groups (SLG)",Yes,No,Yes,1,5,5,8,5,6,3,1,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:39,2024-07-09 11:22:40,Survey Test,,100,1,True,2024-07-09 11:22:40,R_d0TcgRkAgNhwq0e,,,,,,,test,,accusamus,venenatis,dignissim,facilisis,Pharetra i,"Lacus ",Junior,Trinity,"Civil Engineering,Physics","Energy Engineering,Medieval and Renaissance Studies,Psychology",Materials Science and Engineering,Washington DC,"Education,Manufacturing and engineering,Academia/Higher Ed","MD (Doctor of Medicine),MBA (Masters of Business Administration),PhD (Doctor of Philosophy),MA (Master of Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MEM (Master of Engineering Management),MEM (Master of Environmental Management),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPA (Master of Public Administration),MPH (Master of Public Health),MM (Master in Management),DVM (Doctor of Veterinary Medicine)","Fitness,Movies/TV","Personal growth and self-improvement,Emotional support","Middle Eastern,Native American or American Indian,White,Other","NPHC (African American Greek letter organizations),Greek Life (IFC/Panhel)",No,No preference,Yes,8,4,7,9,8,7,1,10,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:40,2024-07-09 11:22:40,Survey Test,,100,0,True,2024-07-09 11:22:40,R_6l0JYDGFEyEsSI6,,,,,,,test,,phasellus,vulputate,convallis,consectetuer,A sem? Tem,Phasel,Senior,Trinity,"Ancient Religion and Society,Global Cultural Studies,International Comparative Studies","African and African American Studies,French Studies","Child Policy Research,Decision Sciences,Latinx Studies in the Global South","Boston MA,Philadelphia and Mid/Southern New Jersey","Finance / Investment / Banking,Product / Product Management / UX Design","None / Not listed,MEng (Master of Engineering)","Family Time,Watching Sports,Fishing/Hunting","Skill development in a specific field,Emotional support",Black or African-American,"Dance Team,Selective Living Groups (SLG)",No,No preference,No,3,10,7,2,4,8,8,7,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:40,2024-07-09 11:22:40,Survey Test,,100,0,True,2024-07-09 11:22:40,R_54oxMObe1v2VSfQ,,,,,,,test,,accusamus,consequat,facilisis,malesuada,Eleifend a,Posuer,Sophomore,Trinity,"Biophysics,Global Cultural Studies","Polish Culture and Language,Theater Studies",Architectural Engineering,China,"Transportation and logistics,Environmental Science,Private Equity","None / Not listed,MD (Doctor of Medicine),JD (Juris Doctorate/Law),MFA (Master of Fine Arts),MA (Master of Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MeD (Master of Education),MEM (Master of Engineering Management),MSN (Master of Science in Nursing),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPH (Master of Public Health),MM (Master in Management),MEng (Master of Engineering),DVM (Doctor of Veterinary Medicine)","Movies/TV,Performing Arts",Academic success and study skills,"Asian or Pacific islander,Other,Prefer not to answer",Dance Team,Prefer not to answer,No preference,No,4,10,8,1,0,10,3,1,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:40,2024-07-09 11:22:40,Survey Test,,100,0,True,2024-07-09 11:22:40,R_bk3fhKZ1tbtCHEa,,,,,,,test,,imperdiet,phasellus,vulputate,temporibus,Purus? Dic,Sapien,Senior,Pratt,History,"Classical Civilization,Latin",Robotics and Automation,"Southern California,Richmond VA",Retail and e-commerce,"None / Not listed,MD (Doctor of Medicine),MBA (Masters of Business Administration),JD (Juris Doctorate/Law),PhD (Doctor of Philosophy),MA (Master of Arts),MS (Master of Science),Psy.D (Doctor of Psychology),MeD (Master of Education),MEM (Master of Environmental Management),MPP (Masters of Public Policy),MSW (Master of Social Work),MHA (Master of Healthcare Administration),MPH (Master of Public Health),MM (Master in Management),MEng (Master of Engineering)",Outdoor Activities/Hiking/Camping,"Skill development in a specific field,Emotional support",Black or African-American,NPHC (African American Greek letter organizations),No,Yes,Yes,2,8,8,10,7,8,8,6,testemail@qemailserver.com,,,,,,
2024-07-09 11:22:41,2024-07-09 11:22:41,Survey Test,,100,0,True,2024-07-09 11:22:41,R_87k05Vpw3DyUXtQ,,,,,,,test,,elementum,convallis,tincidunt,ultricies,Magna diam,"Nibh. ",Senior,Trinity,"Evolutionary Anthropology,International Comparative Studies","Computer Science,Economics",Aerospace Engineering,"New York City/Tri-State area,Atlanta GA,Pacific Northwest/Seattle",Pharmaceutical,"None / Not listed,MS (Master of Science)","Cooking/Baking,Performing Arts,Fishing/Hunting",Skill development in a specific field,"Asian or Pacific islander,Black or African-American,Hispanic or Latinx,Middle Eastern,Native American or American Indian,White,Other","Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Dance Team",Yes,No,Yes,5,6,7,2,10,10,1,8,testemail@qemailserver.com,,,,,,
