StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,N/A_Browser,N/A_Version,N/A_Operating System,N/A_Resolution,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q112,Q14,Q15,Q17,Q16,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q20_8,Q21
2024-07-09 11:24:12,2024-07-09 11:24:12,Survey Test,,100,0,True,2024-07-09 11:24:12,R_bpzopFShawpdkVw,,,,,,,test,,,ullamcorper,consectetuer,pellentesque,imperdiet,Diam leo d,testemail@qemailserver.com,"Pratt,Nicholas School of the Environment,Divinity School","Class of 2023,Class of 1957",2,"Environmental Sciences and Policy,Theater Studies","Evolutionary Anthropology,Music","Ethics and Society,Latinx Studies in the Global South,Robotics and Automation","Consulting and professional services,Manufacturing and engineering,Architecture and Design","MHA (Master of Healthcare Administration),MM (Master in Management)","Cooking/Baking,Gaming,Pets,Reading,Travelling,Music/Dance,Fishing/Hunting","Career exploration and decision-making,Networking and professional connections,Academic success and study skills,Personal growth and self-improvement,Work-life balance and time management",Black or African-American,"None of the below,NPHC (African American Greek letter organizations),Greek Life (IFC/Panhel),Dance Team",Yes,Yes,No,China,7,8,9,8,1,5,3,0,Sem eget? Metus temporibus in morbi interdum? Volutpat! Donec lacus ligula.
2024-07-09 11:24:12,2024-07-09 11:24:12,Survey Test,,100,0,True,2024-07-09 11:24:12,R_6mLIjuH4nGnOG9M,,,,,,,test,,,vulputate,consectetuer,vestibulum,tincidunt,"Malesuada ",testemail@qemailserver.com,Trinity,"Class of 1990,Class of 1978",1,"Computer Science,Sociology","African and African American Studies,Psychology","Innovation and Entrepreneurship,Islamic Studies,Materials Science and Engineering","Medical,Healthcare,Veterinary Medicine","MBA (Masters of Business Administration),MS (Master of Science),MM (Master in Management)","Cooking/Baking,Family Time,Fitness,Gaming,Gardening,Travelling,Movies/TV,Performing Arts","Career exploration and decision-making,Skill development in a specific field,Networking and professional connections,Academic success and study skills,Work-life balance and time management","Asian,Other","NPHC (African American Greek letter organizations),Duke International Association (IA) / International students,Selective Living Groups (SLG)",Yes,Yes,No,UK,3,3,9,5,2,5,3,0,Primis ultricies duis! Elit pretium velit consectetuer volutpat in et accumsan.
2024-07-09 11:24:12,2024-07-09 11:24:12,Survey Test,,100,0,True,2024-07-09 11:24:12,R_eDuFA3fOfITPZKS,,,,,,,test,,,facilisis,elementum,consequat,fermentum,Mauris pos,testemail@qemailserver.com,Divinity School,"Class of 2023,Class of 1960",2,"Linguistics and Computer Science,Philosophy",Earth and Climate Sciences,Materials Science and Engineering,"Medical,Politics / Government and public sector,Product / Product Management / UX design",MFA (Master of Fine Arts),"Cooking/Baking,Family Time,Fashion,Fitness,Gardening,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Music/Dance,Watching Sports,Movies/TV,Performing Arts,Time with Friends","Career exploration and decision-making,Skill development in a specific field,Networking and professional connections,Work-life balance and time management,Emotional support",Asian,"NPHC (African American Greek letter organizations),Greek Life (IFC/Panhel),Dance Team,Selective Living Groups (SLG)",No,No Preference,No,Chicago IL,0,1,6,7,0,6,2,6,Volutpat purus tincidunt vehicula elementum lectus malesuada mattis felis leo tempor fusce mi! Placerat magnis.
2024-07-09 11:24:12,2024-07-09 11:24:13,Survey Test,,100,1,True,2024-07-09 11:24:13,R_6hv00b5s9z88d8y,,,,,,,test,,,curabitur,elementum,accusamus,venenatis,Ipsum port,testemail@qemailserver.com,"Divinity School,DKU","Class of 2002,Class of 1993",4+,"Interdisciplinary Engineering and Applied Science (IDEAS),Italian and European Studies","Global Health,Psychology",Robotics and Automation,"Architecture and Design,Physical Therapy","JD (Juris Doctorate/Law),MS (Master of Science),Psy.D (Doctor of Psychology)","Cooking/Baking,Fitness,Athletics/Playing Sports,Travelling,Volunteering,Movies/TV,Time with Friends","Networking and professional connections,Personal growth and self-improvement",Black or African-American,"NPHC (African American Greek letter organizations),Duke International Association (IA) / International students,Dance Team",No,No Preference,Yes,Nashville TN,6,8,2,1,8,1,8,7,Neque per platea augue justo faucibus odio quam ultricies eget metus.
2024-07-09 11:24:13,2024-07-09 11:24:13,Survey Test,,100,0,True,2024-07-09 11:24:13,R_5cMHTrjPmZqpPme,,,,,,,test,,,suspendisse,facilisis,consequat,sollicitudin,Aliquam ul,testemail@qemailserver.com,DKU,"Class of 1997,Class of 1982",2,"Biology,Italian and European Studies,Statistical Science",Classical Archaeology,"Documentary Studies,Information Science and Information Studies","Construction,Pharmaceutical","MS (Master of Science),MHA (Master of Healthcare Administration),DVM (Doctor of Veterinary Medicine)","Cooking/Baking,Family Time,Fashion,Fitness,Gaming,Outdoor Activities/Hiking/Camping,Pets,Reading,Athletics/Playing Sports,Travelling,Volunteering,Music/Dance,Watching Sports,Movies/TV,Performing Arts,Time with Friends,Fishing/Hunting","Career exploration and decision-making,Work-life balance and time management",Middle Eastern,"None of the below,NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Duke International Association (IA) / International students",Yes,Yes,No,Atlanta GA,7,5,9,2,5,3,9,4,"Blandit sollicitudin consequat odio, eros lorem sed! Aenean euismod auctor."
2024-07-09 11:24:13,2024-07-09 11:24:13,Survey Test,,100,0,True,2024-07-09 11:24:13,R_40DaonFjITzqDnU,,,,,,,test,,,porttitor,elementum,sollicitudin,imperdiet,"Convallis ",testemail@qemailserver.com,DKU,"Class of 2016,Class of 1968,Class of 1959",3,Computational Media,Physics,"Digital Intelligence,Information Science and Information Studies","Finance / Investment / Banking,Consulting and professional services,Marketing / Advertising","JD (Juris Doctorate/Law),DVM (Doctor of Veterinary Medicine)","Fashion,Fitness,Gaming,Gardening,Pets,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Music/Dance,Watching Sports,Performing Arts,Time with Friends","Career exploration and decision-making,Skill development in a specific field,Networking and professional connections,Academic success and study skills,Personal growth and self-improvement,Work-life balance and time management,Emotional support","Black or African-American,Native American or American Indian,Prefer not to answer","None of the below,Multicultural Greek Council (MGC),Duke International Association (IA) / International students,Selective Living Groups (SLG)",Yes,No Preference,Yes,Washington DC,3,10,2,4,3,2,6,5,"Ab cras morbi lacus elit a, tellus diam ullamcorper commodo! A temporibus luctus! Turpis."
2024-07-09 11:24:13,2024-07-09 11:24:13,Survey Test,,100,0,True,2024-07-09 11:24:14,R_5dbzKC3vKVIWLwq,,,,,,,test,,,sollicitudin,fringilla,vulputate,accusamus,Diam rhonc,testemail@qemailserver.com,School of Medicine,"Class of 2015,Class of 1971",3,Mechanical Engineering,"Global Cultural Studies,Russian Culture and Language",East Asian Studies,"Environmental Science,International Relations,Dentistry",MEM (Master of Environmental Management),Fashion,"Career exploration and decision-making,Personal growth and self-improvement",Middle Eastern,"None of the below,NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Duke International Association (IA) / International students,Selective Living Groups (SLG)",No,No Preference,No,Raliegh/Durham/Chapel Hill,3,8,7,3,4,3,6,1,Ridiculus eu tellus! In proin elementum nec molestie neque sed! Nibh tellus.
2024-07-09 11:24:14,2024-07-09 11:24:14,Survey Test,,100,0,True,2024-07-09 11:24:14,R_74dWILLy1SyqyBo,,,,,,,test,,,facilisis,imperdiet,elementum,vulputate,"Vel wisi, ",testemail@qemailserver.com,"Pratt,School of Medicine,School of Nursing","Class of 1991,Class of 1987",1,"Asian and Middle Eastern Studies,Electrical and Computer Engineering,Slavic and Eurasian Studies",Finance,"Aerospace Engineering,Philosophy Politics and Economics","Manufacturing and engineering,Accounting,Private Equity",MM (Master in Management),Performing Arts,"Career exploration and decision-making,Academic success and study skills,Work-life balance and time management,Emotional support","Asian,Other,Prefer not to answer","Greek Life (IFC/Panhel),Dance Team",No,No Preference,Yes,Atlanta GA,10,3,8,6,7,6,5,5,Ante sagittis? Non? Ridiculus facilisis quam suspendisse commodo velit quis ultrices.
2024-07-09 11:24:14,2024-07-09 11:24:14,Survey Test,,100,0,True,2024-07-09 11:24:14,R_73QmHoquZWyvFLU,,,,,,,test,,,pellentesque,convallis,accusamus,pellentesque,Rutrum nec,testemail@qemailserver.com,The Graduate School,Class of 1961,1,"Economics,International Comparative Studies,Italian and European Studies",Philosophy,"Energy and the Environment,Markets and Management","Artificial Intelligence / Machine Learning / Data Science,Venture Capital",MHA (Master of Healthcare Administration),"Cooking/Baking,Reading,Watching Sports",Emotional support,Native American or American Indian,"None of the below,Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Duke International Association (IA) / International students,Dance Team,Selective Living Groups (SLG)",Yes,No Preference,No,Raliegh/Durham/Chapel Hill,1,7,4,2,5,7,6,9,Eu imperdiet! Dictumst cras fermentum euismod accumsan elit dapibus dictumst.
2024-07-09 11:24:14,2024-07-09 11:24:14,Survey Test,,100,0,True,2024-07-09 11:24:14,R_9ztGh86zLK7cTNs,,,,,,,test,,,fermentum,fringilla,fringilla,malesuada,Facilisi e,testemail@qemailserver.com,"School of Nursing,Divinity School","Class of 2022,Class of 2000",2,"Computer Science,Cultural Anthropology",German,Innovation and Entrepreneurship,"Politics / Government and public sector,Agriculture and Food Science,Architecture and Design","None / Not listed,MS (Master of Science),MM (Master in Management)",Reading,"Career exploration and decision-making,Skill development in a specific field,Networking and professional connections,Academic success and study skills,Personal growth and self-improvement,Work-life balance and time management,Emotional support","Asian,Black or African-American,Prefer not to answer","NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Greek Life (IFC/Panhel)",Yes,Yes,Yes,India,2,4,3,6,1,6,7,6,Facilisi sodales quis augue turpis volutpat facilisi porta dolor dui sagittis facilisis dui aliquet.
2024-07-09 11:24:14,2024-07-09 11:24:15,Survey Test,,100,1,True,2024-07-09 11:24:15,R_5drw3RpiCV94Isu,,,,,,,test,,,consequat,vulputate,ultricies,vulputate,Lectus ero,testemail@qemailserver.com,"Pratt,School of Medicine,DKU","Class of 2004,Class of 1998,Class of 1966",2,German,"Chemistry,Psychology","Digital Intelligence,Policy Journalism and Media Studies,Science and the Public","Finance / Investment / Banking,Consulting and professional services,Fashion and apparel","MA (Master of Arts),MPP (Master of Public Policy),MM (Master in Management)","Cooking/Baking,Fashion,Outdoor Activities/Hiking/Camping,Volunteering,Music/Dance,Performing Arts","Career exploration and decision-making,Networking and professional connections,Academic success and study skills,Emotional support",Asian Pacific Islander,"None of the below,Dance Team,Selective Living Groups (SLG)",Yes,Yes,No,Denver CO,0,2,1,2,4,8,8,8,Wisi ab fringilla nec dolor? Dui phasellus? Augue rhoncus primis turpis.
2024-07-09 11:24:15,2024-07-09 11:24:15,Survey Test,,100,0,True,2024-07-09 11:24:15,R_0IiMa76zfJ7Trro,,,,,,,test,,,sollicitudin,fringilla,elementum,vestibulum,Lectus sem,testemail@qemailserver.com,"Divinity School,School of Law",Class of 1959,2,History,Mathematics,East Asian Studies,Real estate,"MD (Doctor of Medicine),JD (Juris Doctorate/Law),MA (Master of Arts)","Cooking/Baking,Fitness,Outdoor Activities/Hiking/Camping,Pets,Reading,Travelling,Volunteering,Movies/TV","Career exploration and decision-making,Work-life balance and time management","Asian Pacific Islander,Hispanic or Latinx,Prefer not to answer","None of the below,NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Duke International Association (IA) / International students,Dance Team,Selective Living Groups (SLG)",No,No Preference,Yes,Nashville TN,1,9,7,8,2,7,9,9,Pellentesque primis molestie mattis sit orci montes egestas erat? Tellus facilisis augue dapibus.
2024-07-09 11:24:15,2024-07-09 11:24:15,Survey Test,,100,0,True,2024-07-09 11:24:15,R_9zxRV9ZEEOlx9tQ,,,,,,,test,,,fermentum,tincidunt,curabitur,facilisis,Sit quam a,testemail@qemailserver.com,"School of Medicine,School of Nursing",Class of 1951,4+,"Civil Engineering,Linguistics,Psychology","Energy Engineering,Gender Sexuality and Feminist Studies,Latin",Islamic Studies,Aerospace and Defense,"JD (Juris Doctorate/Law),MS (Master of Science),MPP (Master of Public Policy)","Cooking/Baking,Family Time,Fashion,Fitness,Gaming,Gardening,Outdoor Activities/Hiking/Camping,Pets,Reading,Athletics/Playing Sports,Travelling,Visual Arts/Crafts,Volunteering,Music/Dance,Watching Sports,Movies/TV,Fishing/Hunting","Career exploration and decision-making,Skill development in a specific field,Networking and professional connections,Academic success and study skills,Personal growth and self-improvement,Work-life balance and time management,Emotional support",Prefer not to answer,"NPHC (African American Greek letter organizations),Multicultural Greek Council (MGC),Greek Life (IFC/Panhel),Selective Living Groups (SLG)",Yes,No Preference,Yes,Denver CO,10,2,2,8,1,8,0,7,"Cursus nunc posuere? Primis! Enim, maecenas lacus ligula? Risus neque enim."
2024-07-09 11:24:15,2024-07-09 11:24:16,Survey Test,,100,1,True,2024-07-09 11:24:16,R_dbYvsYwnmFw6B0y,,,,,,,test,,,malesuada,suspendisse,scelerisque,imperdiet,"Tempus, ut",testemail@qemailserver.com,Nicholas School of the Environment,"Class of 1986,Class of 1971",3,"Asian and Middle Eastern Studies,Global Cultural Studies",Visual and Media Studies,Materials Science and Engineering,"Nursing,Marketing / Advertising,Telecommunications","JD (Juris Doctorate/Law),Psy.D (Doctor of Psychology)","Cooking/Baking,Family Time,Fashion,Fitness,Gaming,Gardening,Reading,Athletics/Playing Sports,Visual Arts/Crafts,Music/Dance,Movies/TV,Performing Arts,Time with Friends,Fishing/Hunting",Career exploration and decision-making,"Middle Eastern,White",NPHC (African American Greek letter organizations),No,Yes,No,Atlanta GA,3,10,5,1,1,8,3,5,"Elit enim wisi vulputate, faucibus risus suspendisse orci integer. Diam lectus dignissim ante."
